tweet_id,text,predicted_intent,decision,reply,human_overall
1768150,Cracked my IPhone 8 screen S/O @115858,hardware_device_issue,AUTO-HANDLE,Let's take a look at the situation. Please meet us in DM and we'll get you pointed in the right direction. https://t.co/GDrqU22YpT,4
898848,"Got new iPad after 3 years on old one that was slow. New one is crap. Have to keep rebooting, videos often won't play. WTF @AppleSupport? 😡",app_media_issue,ESCALATE,Thank you for reaching out to us. We'd like to gather more information to help resolve this issue. Please DM us the details. https://t.co/GDrqU22YpT,4
1517869,What is this? @AppleSupport https://t.co/9HFr1knRU5,general_support,AUTO-HANDLE,Thanks for reaching out to us. Let's meet in DM and go from there. https://t.co/GDrqU22YpT,3
1625438,"@6006, I bought a case from the @115858 store on 10/14, and it broke yesterday. So disappointed. Can I return it to the Apple store?",general_support,ESCALATE,Thanks for reaching out to us for support. We would love to help you. Please DM us so that we can look into this together. https://t.co/GDrqU22YpT,3
1899881,@AppleSupport Not responds and it’s impossible to do something with the phone,general_support,AUTO-HANDLE,"We'd love to help. DM us details about what's going on, including the model of iPhone you're using and the exact version of the operating system (which you can find in Settings &gt; General &gt; About), and we'll collaborate on getting those issues sorted. https://t.co/GDrqU22YpT",3
331380,@AppleSupport No,general_support,AUTO-HANDLE,"Thank you for letting us know. For more help with this, you'll want to reach out to our iTunes Store team here: https://t.co/SDIe7UiyJN",2
483223,"Dear @115858 
@AppleSupport 
After testing the faceID for some time, I have a suggestion.
Add an extra layer of security feature, which requires blinking before the device unlocks.
This feature will tackle two issues:
1- sleeping 
2- masking manikins
Thanx",general_support,ESCALATE,"We want to help you. DM us, and we can look into this. https://t.co/GDrqU22YpT",3
34610,"Oh great, iMessage not working after the latest iOS update. 😐 @AppleSupport",ios_update_issue,AUTO-HANDLE,Let's look into that. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT,3
648575,@274135 @AppleSupport Same!!!!!! Everything is fucked up  iOS 11 is a joke!,ios_update_issue,ESCALATE,"Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9 

DM us if you still need help. https://t.co/GDrqU22YpT",3
2425807,"@AppleSupport Ok, my status bar is missing!",general_support,AUTO-HANDLE,"Let's look into this together. Send us a DM with the iOS version your iPhone is running, and we'll get started. https://t.co/GDrqU22YpT",4
1868499,"Just updated my IPhone to ios 11.0.3 and my photos are all mixed up, not on a chronological order anymore.  What should I do? @AppleSupport",ios_update_issue,ESCALATE,We'd like to help. Let's take this to DM and we'll explore ways to provide you assistance. https://t.co/GDrqU22YpT,3
328079,"@AppleSupport that itunes performance on windows is horrible... i don't bought apple music to wait 1 min while opening itunes... 
 1/2",app_media_issue,AUTO-HANDLE,"Let us know via DM the device that this is occurring on, then we can take a look at this with you from there. https://t.co/GDrqU22YpT",3
2229368,@AppleSupport I just upgraded to iCloud. Mostly due to lack of storage on computers. But it tries to download the whole drive to iMac 😮,ios_update_issue,AUTO-HANDLE,Which macOS version are you using? Check the Apple () Menu &gt; About this Mac and let us know in DM. https://t.co/GDrqU22YpT,2
2695013,@AppleSupport 11.2!,general_support,AUTO-HANDLE,Thanks. Please tell us your current location (region) in a DM and we'll continue this conversation there. https://t.co/GDrqU22YpT,2
759834,"@AppleSupport sure, I press the button and currently nothing happens (iTunes is open, ready 2 play). Or it pauses the Twitch stream I’m watching.",hardware_device_issue,AUTO-HANDLE,"Have you checked the App Store for updates for those apps? DM us, and let us know what you find. https://t.co/GDrqU22YpT",3
1575873,"@AppleSupport No, I want to snap and my music to come out, yea it’s happening in other apps too’",app_media_issue,AUTO-HANDLE,"Let's do all we can to ensure we find you a resolution. Please click here, and meet us in DM so we can better assist: https://t.co/GDrqU22YpT",3
2639733,@AppleSupport yes bro the newest one. it’s whack,general_support,ESCALATE,"Which model do you have? Also, please verify the exact iOS version installed in DM here: https://t.co/GDrqU22YpT",2
463112,@AppleSupport Can I charge my AirPods case with the earbuds in?,general_support,ESCALATE,That's a great question. You can charge the case while the AirPods are stored within it.,5
1146396,"@AppleSupport No, the game app quite often loses its sound (not sure why) I watch an advert video and after it, music from iTunes starts playing 😩",app_media_issue,AUTO-HANDLE,"We would like to help you with this.  What app are you opening?  Which device, and iOS version are you using?",3
553526,"Hi, there is a problem with ""xCode""when running file The following error appears that does not support iOS 11.2 update on iphone x
@115858 @AppleSupport https://t.co/yEuTvmerLr",ios_update_issue,AUTO-HANDLE,Thanks for reaching out to us. Can you please clarify the technical issue that you are having specifically? DM us details. https://t.co/GDrqU22YpT,3
2577693,"@AppleSupport how do we clear history in maps on iOS 11.1.1? old house location keeps showing up, I swipe left and only get a share button and no remove, help.",hardware_device_issue,AUTO-HANDLE,We want to help.  This article has instructions on clearing your history in Maps:  https://t.co/VsP0DZCgdG,4
633775,"@AppleSupport my phone isn’t letting me airdrop, tapping the airdrop button but nothing is happening?",hardware_device_issue,AUTO-HANDLE,"We want to help. Make sure Wi-Fi and Bluetooth are turned on, and let's try restarting your iPhone. Send a DM for more help. https://t.co/GDrqU22YpT",4
1445615,@AppleSupport looks like the email unsubscribe feature in ios11 isn’t working. Still keep getting emails,ios_update_issue,AUTO-HANDLE,"We can get you pointed in the right direction. If you're still receiving emails, you'll want to reach out to the sender.",4
2347633,@AppleSupport I need my watch &amp; phone msgs to sync. Spending 2 much time deleting msgs.,general_support,AUTO-HANDLE,Let's try unpairing the watch and setting it back up: https://t.co/UCuy0qGg07,4
2774303,"@AppleSupport hi there, I got a problem with the iPhone SE. It doesn't let the ringtone ring on the (cont) https://t.co/LUUzaDy85h",general_support,ESCALATE,What kind of issue are you having? Let us know so we can help.,3
1785808,@AppleSupport Everywhere lol it’s not anywhere,general_support,AUTO-HANDLE,Have you updated to iOS 11.1 yet? Let's make sure by going to Settings &gt; General &gt; About &gt; Version.,2
1133169,"iOS11 is a dumpster fire. If it is beautiful but unstable (~5 crashes/day), why release?

Useability is essential, @AppleSupport",ios_update_issue,AUTO-HANDLE,We're here to help. DM us any questions or concerns you're having and we can go from there. https://t.co/GDrqU22YpT,3
87052,euh par contre c’est une vie ça de mettre à charger son téléphone mais que la batterie continue à diminuer?? @115858 jvous parle là,battery_issue,ESCALATE,We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,2
1913106,"@115858 when i turn my Bluetooth and WiFi off, I’d like it to not SEARCH FOR A CONNECTION ALL DAY, killin my battery... thanks.",battery_issue,ESCALATE,"To turn off Wi-Fi and Bluetooth completely, you can go to the Settings app. You can find out more about this from here: https://t.co/G7BHuQnDS6",3
1959414,"@AppleSupport a number of my apps keep crashing on me, particularly my @318 app, since the update",ios_update_issue,ESCALATE,We want you to be able to use all of your apps throughout the day without having issues. Let's see what we can do to get down to the bottom of this with you. Let us know in DM what the exact iOS version you're running. Find this in Settings &gt; General &gt; About. https://t.co/GDrqU22YpT,4
1791809,@AppleSupport It’s a 5s with IOS 11.0.3.,ios_update_issue,AUTO-HANDLE,"Thanks for providing that for us. We know how important it is to have your battery performing as expected. Are you using the cable that came with your iPhone, or a third-party cable? Also, how are you charging the iPhone; in a computer or with a wall adapter?",2
2950957,"@AppleSupport I can’t select a specific song. For instance, I can search @3537 and shuffle his album, but I cannot play a specific song.",general_support,AUTO-HANDLE,Were you able to download the remainder of the album?,2
1691900,"@513568 @AppleSupport 

Please help when updating the latest 
version I got the apple logo problem
!! The device hung
 
 .. I want a solution",ios_update_issue,ESCALATE,Let's take this to DM so we can better assist you. https://t.co/GDrqU22YpT,3
2834595,Another update issue I’m finding is when I open the camera I don’t want the live option on. So I’ve gone to setting and turned it off but when I go onto my camera every time I still have to turn it off. @AppleSupport,ios_update_issue,AUTO-HANDLE,"Let's look into this together. Please tell us which iPhone &amp; the iOS version you're working with. Also, let us know if Settings &gt; Camera &gt; Preserve Settings &gt; Live Photo, is still showing that setting is off after restarting with these steps: https://t.co/OWRDHWSt4h",4
1420712,@AppleSupport I have a purchase that isn’t showing up in my library and it’s not hidden. It’s telling me I need to buy again,account_purchase_issue,ESCALATE,"We're here to help. To get this taken care of, you will need to reach out directly to our iTunes team: https://t.co/SDIe7UiyJN",4
2870742,@115858 i need supports help please,general_support,ESCALATE,Thanks for reaching out. How can we help you?,4
2487171,@115858 I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ really wish you would fix this bug.,general_support,AUTO-HANDLE,Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,3
53540,"@AppleSupport Watch 4.1, Iphone 11.1..I restarted and re-enabled/disabled notifications via watch app.",app_media_issue,AUTO-HANDLE,You can change the notification settings if you wish. Follow the section of the article titled 'Customize or mirror your notification settings'. DM us if you're still having trouble. https://t.co/GDrqU22YpT,3
2037053,@AppleSupport Ive had this freaking 8plus for alittle over a MONTH and its already slow and glitchy? makes no sense to me.,general_support,AUTO-HANDLE,"Let's work together to get that resolved for you. Meet up with us in DM with some details, and we'll get on it. https://t.co/GDrqU22YpT",3
630971,@Applesupport your latest iPhone update sucks major ass. It drains battery life.,battery_issue,AUTO-HANDLE,"We'd be happy to look this over with you. Please meet us in DM so we may gather information, and better assist. https://t.co/GDrqU22YpT",3
