text,intent,escalate,escalation_reason,reviewed
"Wow @AppleSupport iOS 11, what a mess! After 0.2, My 7P still hangs, heats up, battery life is awful, photos are still wacky.",ios_update_issue,True,"Customer reports multiple serious problems after the iOS update, including hanging, overheating and poor battery life, requiring further troubleshooting.",True
CAN YALL FIX THE FUCKIN KEYBOARD @115858,keyboard_input_issue,False,,True
"@AppleSupport No, I want to snap and my music to come out, yea it’s happening in other apps too’",app_media_issue,False,,True
Will there be another update @115858 soon? It would be nice if my phone could relay all vowels.,ios_update_issue,False,,True
@AppleSupport I don’t want to keep auto correct turned off so please fix this “I” glitch 😭,keyboard_input_issue,False,,True
"@AppleSupport and now airplane mode is broken. airplane on, but wifi and bt don‘t shut down... come on guys!!!",ios_update_issue,False,,True
"@AppleSupport ... Battery drain, back arrow not always working and more importantly App updates do not update.",battery_issue,True,"Customer reports battery drain along with multiple other device and app issues, requiring further troubleshooting.",True
"@AppleSupport sure, I press the button and currently nothing happens (iTunes is open, ready 2 play). Or it pauses the Twitch stream I’m watching.",app_media_issue,True,"Customer reports battery drain along with multiple other device and app issues, requiring further troubleshooting.",True
Cracked my IPhone 8 screen S/O @115858,hardware_device_issue,True,"Customer reportCustomer reports a cracked iPhone screen, which may require repair or replacement support.s battery drain along with multiple other device and app issues, requiring further troubleshooting.",True
@AppleSupport Can I charge my AirPods case with the earbuds in?,keyboard_input_issue,False,,True
"@AppleSupport Ok, my status bar is missing!",general_support,False,,True
@115858 how can you send a brand new Apple Watch series 3 that has been used? I waited nearly 4 weeks only to be disappointed 😔,account_purchase_issue,True,Customer reports receiving a used device instead of a new one and may require replacement or order investigation.,True
@AppleSupport the latest update (11.1.1) will not let me use cellular data. Help,ios_update_issue,True,Customer reports receiving a used device instead of a new one and may require replacement or order investigation.,True
i’m tired of my phone making itself brighter and having to repeatedly turn my brightness down @115858 horrible feature.,general_support,False,,True
"@115858 @AppleSupport c’est quoi vos mise a jour pourrit la !! Depuis ios11, tout bug 😡😡😡 c’est lent",ios_update_issue,True,"Customer reports widespread bugs and slow performance since the iOS 11 update, requiring further troubleshooting.",True
"@AppleSupport Fix your s***. Tired of seeing a capital A and a question mark in a box. Cheese and rice, for what you charge per phone, this is inexcusable.",keyboard_input_issue,False,,True
@AppleSupport  https://t.co/zZ055gWSe7,general_support,False,,True
@AppleSupport I need my watch &amp; phone msgs to sync. Spending 2 much time deleting msgs.,app_media_issue,False,,True
"@AppleSupport a number of my apps keep crashing on me, particularly my @318 app, since the update",app_media_issue,False,,True
"iOS 11 f**king load of shit, apps don’t download unless I go to passcode and back in again, emails freeze? Calendar freezes @AppleSupport",ios_update_issue,True,"Customer reports multiple app and email failures after the iOS 11 update, requiring further troubleshooting.",True
"@6006, I bought a case from the @115858 store on 10/14, and it broke yesterday. So disappointed. Can I return it to the Apple store?",account_purchase_issue,True,"Customer reports a purchased accessory is broken and is asking about a return, requiring order or replacement support.",True
@AppleSupport It’s a 5s with IOS 11.0.3.,ios_update_issue,False,,True
@AppleSupport this was just emailed to me and I’ve never seen this before. Is this real??? https://t.co/o5cX38glss,account_purchase_issue,True,"Customer received an unexpected email and is unsure whether it is legitimate, requiring security or account investigation.",True
@AppleSupport completed 2x 11+ minute Apple Watch workouts today and still haven’t unlocked the Veteran’s Day challenge. What’s up?,app_media_issue,False,,True
@274135 @AppleSupport Same!!!!!! Everything is fucked up  iOS 11 is a joke!,ios_update_issue,True,Customer reports widespread problems with iOS 11 and requires further troubleshooting.,True
@AppleSupport my uncle upgraded to the iPhone X but is having tons of problems transferring over his photos from his iPhone 6. He bought extra iCloud storage but only 200 of 1700 photos transferred. He has plenty of iCloud storage,app_media_issue,True,"Customer reports that most photos did not transfer to the new iPhone despite having sufficient iCloud storage, requiring further troubleshooting.",True
@AppleSupport yes bro the newest one. it’s whack,general_support,True,"Customer reports that most photos did not transfer to the new iPhone despite having sufficient iCloud storage, requiring further troubleshooting.",True
"@AppleSupport Widespread. App, gallery and camera take ages to open andtaking pics. Even tipping tweets, fb status, letters come out very slowly.",general_support,True,"Customer reports widespread device performance problems affecting apps, camera, gallery and typing, requiring further troubleshooting.",True
@Applesupport your latest iPhone update sucks major ass. It drains battery life.,battery_issue,False,,True
😕 @AppleSupport this seems less than ideal after updating a mid 2010 MacBook Pro to High Sierra https://t.co/44xz5DZBbp,ios_update_issue,False,,True
@115858 can you fix the heinous “I️” issue because it’s starting to look like I’m typing in Windings via @115890,keyboard_input_issue,False,,True
"@115858 @AppleSupport And my shortcuts “text replacement” decided to disappear, hello are you there? #ios #ios11 #iPhoneX #ipadpro https://t.co/ZIpDZDjJNz",keyboard_input_issue,False,,True
"@AppleSupport Yes i had. At some time i can swipe left to cam, but other time i cant. Do i always need to restart to activate swipe left cam?",app_media_issue,False,,True
"@AppleSupport please help, what's going on here? Why have my pictures suddenly disappeared? 😐🤔 https://t.co/8nLmtj0ZgN",app_media_issue,True,Customer reports that their pictures have disappeared unexpectedly and may require account or data-recovery troubleshooting.,True
k so I updated my phone to get rid of the “I” malfunction and now my phone is lagging. Coooollll @115858 COOL.,ios_update_issue,False,,True
@AppleSupport 11.2!,general_support,False,,True
@AppleSupport 11.0.3,general_support,False,,True
@AppleSupport How do I️ stop this insanity? Typing an “I️” sometimes changes to this... or some other character. https://t.co/MMoh0d30FR,keyboard_input_issue,False,,True
@AppleSupport this update fucking sucks how come it says i’m listening to music when i’m playing a podcast ? what? fix it! https://t.co/dtqmckzfXh,app_media_issue,False,,True
@AppleSupport Actually both of those.  And I tested with other phones. They can’t hear me and I can’t hear them,keyboard_input_issue,False,,True
@AppleSupport what is this Apple ? https://t.co/Fq3Lapz0JK,general_support,False,,True
@AppleSupport I have iPhone 6+ on iOS 11. How do I force restart? The power and home button no longer do the trick.,hardware_device_issue,True,The customer reports that the physical Power and Home buttons are not working and may require human troubleshooting or repair.,True
Bu nedir??? @AppleSupport @115858 https://t.co/VRUsZYIB41,general_support,False,,True
@115858 get your shit together I’m real sick of my phone making my I’s come out like this: I️,keyboard_input_issue,False,,True
@115858 when y’all gonna come out with another update cuz everything on my phone running like TRASH,ios_update_issue,False,,True
Yo @115858 you gotta chill with these updates fucking up my phone fam,ios_update_issue,False,,True
@AppleSupport Everywhere lol it’s not anywhere,general_support,False,,True
Thanks @115858 for turning my iPhone 6 into an unresponsive piece of junk with iOS 11. Thanks. So much. @AppleSupport #iOS11,ios_update_issue,True,"Customer reports that the iPhone became unresponsive after the iOS 11 update, requiring further troubleshooting.",True
"@AppleSupport hasn’t helped sorry - also, it won’t download completely! https://t.co/Yd0orwOPPP",general_support,True,"The customer reports that previous support has not resolved the issue and the download is still incomplete, requiring further assistance.",True
@AppleSupport Yes newest version installed and every time “I️” type “I️” this happens I️,keyboard_input_issue,False,,True
@115858 ios 11.0.3 çok kötü ve şarj dayanmıyor. Awful..,battery_issue,False,,True
@AppleSupport i have a question my usb port broke on my mac i’ve tried everything can i buy something to imitate a usb port,hardware_device_issue,True,The Mac USB port is physically broken and may require repair or a hardware replacement solution.,True
"@AppleSupport My Daughter has an iPhone 6S which she updated and now can't use the front camera and the battery lasts an hour from full, what can she do. #gladigotridofmyiphone",ios_update_issue,True,"Customer reports serious camera and battery problems after an iOS update, requiring further troubleshooting.",True
"@AppleSupport my alarm clock isn’t going off when on silent since updating to the latest iOS, sort your shit out",ios_update_issue,False,,True
@AppleSupport are Apple cables supposed to wither away like state under communism? https://t.co/AJBjwnQXUS,hardware_device_issue,True,Customer reports that Apple cables are deteriorating and may require replacement or hardware support.,True
@510888 @AppleSupport Doing this can make I️t quit https://t.co/0UjZCkeofJ,keyboard_input_issue,False,,True
"Hey, @115858 @AppleSupport I was only able to send this tweet on my 8+ AFTER resetting my network connections for a third time. What gives?",general_support,True,"Customer reports a recurring network connectivity problem that required multiple network resets, requiring further troubleshooting.",True
"@AppleSupport (And I've lost predictive text...)

How can I clear this? https://t.co/AGhPDF00pU",keyboard_input_issue,False,,True
@AppleSupport supposed to be able to get prequalified for the iPhone upgrade program today in the app and it’s still not showing an option.,account_purchase_issue,True,The iPhone Upgrade Program option is missing from the app and may require account or program eligibility investigation.,True
"@AppleSupport hi, I’d love to buy an iPhoneX SIM-free without a carrier, outright. When will I able to do that?",account_purchase_issue,False,,True
@115858 #iPhoneX activation issues? Ruined experience. 3 hours- still nothing. At least A11 Bionic chip makes failing to activate really quik,account_purchase_issue,True,Customer reports a prolonged iPhone X activation failure that may require account or device activation support.,True
Cuando va a sacar @AppleSupport la actualización de ios que repare todo lo que jodió la última actualización..? Mi iphone no es el mismo. 🤕,ios_update_issue,True,Customer reports widespread problems caused by the previous iOS update and is requesting a corrective update.,True
@AppleSupport Thank you for ur reponse! I will contact u if it doesnt get better with the update.,general_support,False,,True
Yo @115858. What’s good with the new update?! Anytime i type “I” this pops up 😒 https://t.co/uEpyAkiKzv,keyboard_input_issue,False,,True
@AppleSupport I have a purchase that isn’t showing up in my library and it’s not hidden. It’s telling me I need to buy again,account_purchase_issue,True,"Customer reports a missing purchase and is being asked to buy it again, requiring account or purchase investigation.",True
-.- @AppleSupport excuse me https://t.co/reKtwJ3fiu,general_support,False,,True
"Just updated my IPhone to ios 11.0.3 and my photos are all mixed up, not on a chronological order anymore.  What should I do? @AppleSupport",app_media_issue,False,,True
"@AppleSupport No, the game app quite often loses its sound (not sure why) I watch an advert video and after it, music from iTunes starts playing 😩",app_media_issue,False,,True
"@AppleSupport i upgraded to ios 11 and since battery drains, touch id is failing, phone overheats. I have iphone se version 11.0.3. HELP.",battery_issue,True,"Customer reports battery drain, overheating and Touch ID failure after an iOS update, indicating multiple serious device problems requiring further troubleshooting.",True
Interesting how my #iPhone went from 10% battery to 33% after being plugged in for 2m &amp; now it’s at 28% writing this tweet. Still haven’t figured that out @115858? #fail,battery_issue,False,,True
When will eye be able to type the letter eye without have to worry about it autocorrect to I️ @AppleSupport,keyboard_input_issue,False,,True
Dude I️ Thought I️ Was The Only One Wtfuck Is Going On #Apple @115858 https://t.co/D055bXyPEj,keyboard_input_issue,False,,True
"@AppleSupport It's just an extra step. Sometimes it's. Ice to have that right there, not needed extra steps.",general_support,False,,True
@AppleSupport when will the auto-capitalizing “It” and I️ that changed to “A ?” be fixed?! This is super annoying!,keyboard_input_issue,False,,True
"Hi, there is a problem with ""xCode""when running file The following error appears that does not support iOS 11.2 update on iphone x
@115858 @AppleSupport https://t.co/yEuTvmerLr",ios_update_issue,True,"Customer reports an Xcode compatibility/error problem involving the iOS 11.2 update on an iPhone X, which may require technical support.",True
Hey @AppleSupport my “I️” is coming out like this https://t.co/2Fc3SFlduw,keyboard_input_issue,False,,True
"Shout to @115858  @AppleSupport High Sierra Update for messing up my macbooks wifi, loving your updates recently.",ios_update_issue,False,,True
"iOS11 is a dumpster fire. If it is beautiful but unstable (~5 crashes/day), why release?

Useability is essential, @AppleSupport",ios_update_issue,True,"Customer reports frequent crashes (around 5 per day) and instability after iOS 11, indicating a serious software problem requiring further troubleshooting.",True
@115858 @AppleSupport still no answer or update. My whole office is having trouble with their iPhones. 5s - 6s https://t.co/sGn1sO88qC,general_support,True,"Customer reports that multiple iPhones in their office are having problems and says they still have not received an answer or update, requiring further support.",True
euh par contre c’est une vie ça de mettre à charger son téléphone mais que la batterie continue à diminuer?? @115858 jvous parle là,battery_issue,True,"Customer reports that multiple iPhones in their office are having problems and says they still have not received an answer or update, requiring further support.",True
"Hey @115858 . . . get your act together.  3 custom iMacs in 3 weeks, all defective, and horrific customer service. Not the way to treat loyal customers. You've slipped BIG TIME!",hardware_device_issue,True,"Customer reports three custom iMacs being defective within three weeks and describes serious customer service problems, requiring human support.",True
Apparently this is a glitch in iOS 11 for iPhone 6. @AppleSupport can you make landscape native for the entire usage in iPhone 6 and others? https://t.co/wyJvswtJuM,ios_update_issue,False,,True
"@115858 have defiantly been bugging with my phone because since the iPhone X has come out, my phones been moving like a dickhead",general_support,False,,True
"@115858 @AppleSupport onde já se viu? vc vai abrir o @2069 e o celular trava e fica cheio de mimimi, tudo depois que atualizei o sistema!! ajeitem isso Apple",ios_update_issue,False,,True
Hey @115858 and @AppleSupport can you please fix this stupid glitch with the letter that rhymes with eye. PLEASE I️,keyboard_input_issue,False,,True
@AppleSupport Ive had this freaking 8plus for alittle over a MONTH and its already slow and glitchy? makes no sense to me.,hardware_device_issue,True,"Customer reports that a recently purchased iPhone 8 Plus is already slow and glitchy, indicating a potential device problem requiring further troubleshooting.",True
"@234442 @AppleSupport Certainly is. Also, @AppleSupport I’ve filed two reports and still haven’t heard anything back or got my $74.99 refunded. This is outrageous!",account_purchase_issue,False,,True
@AppleSupport iPhone 7 and iOS 11.0.3. Please give me a way to downgrade my shit back to iOS 10.,ios_update_issue,True,"Customer wants to downgrade from iOS 11 to iOS 10, which requires software/version support and may need human assistance.",True
"Seriously, @AppleSupport, @117735 has been unable to activate svc for it despite online, a visit and four calls.",account_purchase_issue,True,"Customer reports being unable to activate the service despite online support, an in-person visit and four calls, so human assistance is required.",True
My phone updated last night by itself and the brightness keeps adjusting by it self. @115858 how do I fix this?,ios_update_issue,False,,True
@AppleSupport I just upgraded to iCloud. Mostly due to lack of storage on computers. But it tries to download the whole drive to iMac 😮,app_media_issue,False,,True
"@AppleSupport Please, please stop playing around with my iPad layout design every 5 minuets, it’s getting ignoring now!",app_media_issue,False,,True
"@AppleSupport hi there, I got a problem with the iPhone SE. It doesn't let the ringtone ring on the (cont) https://t.co/LUUzaDy85h",hardware_device_issue,False,,True
AND IMA NEED APPLE TO FIX THAT DAMN  ? ISSUE!!!!! @115858,keyboard_input_issue,False,,True
"Oh great, iMessage not working after the latest iOS update. 😐 @AppleSupport",app_media_issue,False,,True
@AppleSupport have been a Mac user for countless years and after high Sierra update my Mac is officially dead,ios_update_issue,True,"Customer reports that the Mac became unusable after the High Sierra update, indicating a serious software/device problem requiring human support.",True
"Huge battery impact of iOS11 on my iPhone 6S. Used to get through the day w/o problems, now have to charge mid-day. @33423 @548806 @115858",battery_issue,False,,True
"Well! I hate to admit but iOS. 11 has ruined my phone! @AppleSupport 
Phone lags, almost all apps lag in various functions!",ios_update_issue,True,"Customer reports severe phone and app lag after the iOS 11 update, indicating widespread performance problems that require further troubleshooting.",True
@AppleSupport hello I have recently bought the iPhone c and my battery life was great then after a few days with the new updates my battery seems to be draining a lot faster how can I fix this,battery_issue,False,,True
@AppleSupport,general_support,False,,True
All my text messages are gone!!!!!! WTF @115858 ?!?!?,app_media_issue,True,"Customer reports that all text messages have disappeared, which may involve data loss and requires human support.",True
"@AppleSupport (3/3) Like Database 00-09-12-921. Every time I delete it, it comes back again and more keep accumulating.",app_media_issue,False,,True
@AppleSupport FIX MY PHONE I️,keyboard_input_issue,False,,True
I UPDATED MY PHONE WHY AM I STILL SEEING THESE ANNOYING BOXED QUESTION MARKS @115858 @AppleSupport,keyboard_input_issue,False,,True
@AppleSupport No. It only occurs when sharing from my Mac. https://t.co/Ios2BnKnHt,app_media_issue,False,,True
@AppleSupport since the last update my phone has been shutting down applications and on the fritz - what gives?!!!!,ios_update_issue,True,"Customer reports that applications are shutting down and the phone is malfunctioning after the latest update, indicating a serious software problem requiring further troubleshooting.",True
"@115858 when i turn my Bluetooth and WiFi off, I’d like it to not SEARCH FOR A CONNECTION ALL DAY, killin my battery... thanks.",battery_issue,False,,True
What is this? @AppleSupport https://t.co/9HFr1knRU5,general_support,False,,True
@AppleSupport how can I add Night Mode to the control center in the new iOS?,ios_update_issue,False,,True
@AppleSupport That is a bad sign right ?... (updated from 10.3.3 to 11.0.3 on ipad air 2) https://t.co/UOubMxcdHF,ios_update_issue,False,,True
When y’all gonna fix this shit &gt;&gt;&gt;&gt; I️ @AppleSupport @115858,keyboard_input_issue,False,,True
@AppleSupport the pages app isn’t working since y’all “updated” it. Fix itttttt please. 🙄,app_media_issue,False,,True
Who can help :) I need buy for our customer In my area Czech Republic new @115858 Iphone X 256 silver,account_purchase_issue,False,,True
@AppleSupport  how long is it going to take for my backup to complete on my iPhone X !? It’s been hours and my pictures still haven’t been added into my picture app yet 😰,app_media_issue,True,"Customer reports that an iPhone backup has been incomplete for hours and photos have not appeared, indicating a possible data/sync issue requiring further troubleshooting.",True
@AppleSupport Restart doesn’t help. Fully updated 11.0.3 on iPhone 5s,ios_update_issue,True,"Customer says restarting does not resolve the problem even after fully updating to iOS 11.0.3, indicating an unresolved software issue requiring further troubleshooting.",True
@AppleSupport why does my iPhone keep restarting over and over!?,ios_update_issue,True,"Customer says restarting does not resolve the problem even after fully updating to iOS 11.0.3, indicating an unresolved software issue requiring further troubleshooting.",True
@AppleSupport iPhone 7,general_support,True,"The customer only mentions “iPhone 7” without describing any problem or request, so it is an unclear/miscellaneous message.",True
@AppleSupport Need to edit an address on my iPhone order but chat and phones are all disabled? Help.,account_purchase_issue,False,,True
"@AppleSupport The problem started after the update to the OS, currently the same has started working. This was not the case for the past few weeks...",ios_update_issue,False,,True
@AppleSupport No,general_support,False,,True
@AppleSupport my iphone X order link from email conf takes me to a page indicating that my order does not belong to my acct! Help!!,account_purchase_issue,True,"Customer reports that their iPhone X order confirmation link shows the order does not belong to their account, requiring account/order investigation.",True
Also fuck you @115858,general_support,False,,True
@AppleSupport  What is your suggestion dear apple:)  should i do factory reset :),general_support,False,,True
Ive been trying to get my phone fixed for months but @115858 and @127271 have done nothing but make me talk to voicemails &amp; machines.,general_support,True,"Customer has been trying to get the phone fixed for months and reports that previous support only directed them to voicemail and automated systems, so human assistance is required.",True
"Got new iPad after 3 years on old one that was slow. New one is crap. Have to keep rebooting, videos often won't play. WTF @AppleSupport? 😡",app_media_issue,True,"Customer reports that a new iPad repeatedly needs rebooting and videos often do not play, indicating serious device/app problems requiring further troubleshooting.",True
@AppleSupport hello can you please help me to get the health app count steps from watch. Thanks https://t.co/nL9XHPzdyL,app_media_issue,True,"Customer reports that a new iPad repeatedly needs rebooting and videos often do not play, indicating serious device/app problems requiring further troubleshooting.",True
@AppleSupport what the hell is this 🤔🤔 https://t.co/B10R9Pq4N7,general_support,False,,True
"did this update actually fix the I button issue, mines is still doing it and I updated my damn phone? @115858",keyboard_input_issue,False,,True
@AppleSupport Not responds and it’s impossible to do something with the phone,general_support,True,"Customer reports that support is not responding and that the phone is effectively unusable, requiring human assistance.",True
@795093 hey @applesupport can you please help us? i can't request a call/chat on your website because i can't access my serial number/IMEI/MEID because my phone WON'T TURN ON and i didn't keep the original packaging,hardware_device_issue,True,"Customer's phone will not turn on, preventing access to the serial number/IMEI/MEID and support options, so human assistance is required.",True
"@AppleSupport pelase help me, why is this happening https://t.co/PZFn0G0iQu",general_support,False,,True
Might continue the morning gyms but my alarms need to ring @AppleSupport fix this issue man,general_support,False,,True
"@AppleSupport When using Google Map, the bottom banner is in the same space as App Swith. https://t.co/xG0ulV22qA",app_media_issue,False,,True
"What is wrong with the App Store man, it’s been tweaking ever since iOS 11 and it’s very annoying. Fix it. @AppleSupport @118936 @115858",app_media_issue,False,,True
@AppleSupport Is Apple Care of $199 flat or excluding tax?,account_purchase_issue,False,,True
"@AppleSupport It has happened twice. Both times, after updating to the latest iOS 11 update. Most recently last night updated and tonight no iCloud Music.",app_media_issue,True,"Customer reports that iCloud Music disappears after iOS updates, and the issue has happened repeatedly, requiring further troubleshooting.",True
@AppleSupport Yes—same result,general_support,False,,True
@115858 i need supports help please,general_support,False,,True
Seriously @115858 fix the bug which keeps randomly turning my Wi-Fi/Bluetooth on. It’s really annoying.,ios_update_issue,False,,True
"@AppleSupport I can’t select a specific song. For instance, I can search @3537 and shuffle his album, but I cannot play a specific song.",app_media_issue,False,,True
@AppleSupport @115858 can you fix this it’s weird https://t.co/ByQ8StQbt2,general_support,False,,True
"@AppleSupport A road was added in #Corona, CA almost 1 yr ago, no update on #applemaps yet. Busy road. #Google already up. Going to update? https://t.co/skY1O5e5jl",app_media_issue,False,,True
